Level Name,Next Level,TileX,TileY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: these tiles cannot currently change size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g
g,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,,g
g,h,,,,,,,,,,,,,o,,,,,,,,,,,,,,,,,,g
g,,p,,,,,,,,,g,g,,,o,,,,,,,,,,,,,,,,,g
g,,c,,,,e,,,,,g,g,s,s,s,o,,c,,s,,f,s,,e,,,s,,n,,g
g,g,g,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
g,g,g,,,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,g,g,g,g,g,g,g,g,g,g
